,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
document_1,kemeja,bagus,beli,kemeja,toko,kemeja,asli,bagus,bahan,adem,gerah,nerawang,kamera,jelek,kemeja,asli,bagus,banget,bohong,sumpah,,,,,,,,,,,,,,,,,,,,
document_2,jahit,rapi,cuman,benang,jahit,jelek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_3,sesuai,harga,tipis,oke,warna,abu,kalo,foto,kayak,biru,dikit,terimakasih,seller,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_4,gila,bagus,nila,lembut,baju,kirain,tipis,kayak,kemeja,ku,kayak,kaos,baju,bagus,harga,segitu,nila,terimakasih,yah,pesan,,,,,,,,,,,,,,,,,,,,
document_5,kain,bagus,halus,buka,kotor,warna,putih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_6,bagus,harga,segitu,kain,tipis,banget,tebal,banget,kalo,putih,pake,dalem,biar,nerawang,bagus,kirim,,,,,,,,,,,,,,,,,,,,,,,,
document_7,harga,mahal,bahan,tipis,banget,kirim,warna,foto,asli,maaf,foto,sesuai,udah,cuci,,,,,,,,,,,,,,,,,,,,,,,,,,
document_8,puas,banget,takut,jelek,foto,yearbook,pas,bagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_9,kecewa,pesan,warna,fuschia,pink,mohon,teliti,kakak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_10,maaf,bintang,sesuai,gambar,gambar,tutup,bokong,pas,pendek,banget,banget,pas,buka,kancing,langsung,lepas,,,,,,,,,,,,,,,,,,,,,,,,
document_11,bagus,banget,timpal,dg,barang,besok,beli,xixi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_12,terimakasih,baju,udah,coba,kirim,aja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_13,foto,asli,bahan,aga,panas,sesuai,harga,emas,rapi,kirim,beda,kota,nungu,ready,,,,,,,,,,,,,,,,,,,,,,,,,,
document_14,bahan,bagus,si,pendek,kecewa,butuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_15,lambat,bngt,anjir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_16,bahan,tipisuntung,milih,wrn,gelapas,d,badan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_17,barang,sesuai,ekspektasi,bahan,beda,dingin,contoh,kurir,gila,nganter,rumah,suruh,ambil,milihnya,sampe,rumah,bkn,ambil,,,,,,,,,,,,,,,,,,,,,,
document_18,nyesel,belik,harga,segitu,kain,bagus,banget,bikin,gerah,asliknyesel,de,beli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
