,0
0,a
1,abal
2,abang
3,abis
4,abu
5,acara
6,ad
7,adan
8,adapadahal
9,adasaya
10,adatolong
11,adek
12,adem
13,ademn
14,adik
15,adjust
16,adkinya
17,admin
18,adminya
19,ads
20,aduh
21,aelah
22,aesthetic
23,aga
24,agk
25,agx
26,ah
27,ahahaha
28,ahshshahsha
29,ai
30,aing
31,air
32,aj
33,aja
34,ajabukan
35,ajar
36,ajib
37,aju
38,ajuin
39,akalin
40,akhirat
41,akhrinya
42,akn
43,aksesoris
44,aktif
45,aku
46,akucoba
47,akudong
48,al
49,ala
50,alah
51,alahmdulilah
52,alam
53,alas
54,alda
55,alhaldulilah
56,alhamdulilah
57,alhamdupilah
58,alhasil
59,alshop
60,alternatif
61,alus
62,alusan
63,ama
64,aman
65,amanah
66,amanahjam
67,amanahsaya
68,ambil
69,amin
70,amnah
71,ampun
72,an
73,anak
74,ancur
75,andal
76,aneh
77,angap
78,angka
79,anjir
80,anjrit
81,anjur
82,anteraja
83,anti
84,anw
85,ap
86,apan
87,apayang
88,aplikasi
89,aq
90,aquamarine
91,arah
92,army
93,asa
94,asal
95,asli
96,asliknyesel
97,aslix
98,astaga
99,atar
100,ater
101,ato
102,atuh
103,atur
104,auto
105,awet
106,b
107,babang
108,babel
109,babget
110,baca
111,bad
112,badai
113,badan
114,baget
115,bagi
116,bagos
117,bagus
118,bagusbut
119,baguz
120,bah
121,bahan
122,bahana
123,bahnx
124,baik
125,baikecepatan
126,baikecewa
127,baikp
128,baikproduk
129,baiksemoga
130,bain
131,baju
132,balas
133,bales
134,balesan
135,balik
136,bana
137,banda
138,bandana
139,banding
140,bandolanya
141,banegtcuma
142,bangat
143,banget
144,bangetadem
145,bangetbahan
146,bangethanya
147,bangetharga
148,bangetlembut
149,bangetmo
150,bangetmudahan
151,bangetorderan
152,bangetpadahal
153,bangety
154,bangt
155,bangus
156,banhet
157,banjir
158,barang
159,barangbarang
160,barangx
161,bareng
162,bas
163,basa
164,basi
165,bat
166,bata
167,bataklo
168,batal
169,batik
170,batrai
171,batre
172,batwing
173,bau
174,bawa
175,bawah
176,bawang
177,bayangin
178,bayar
179,bayarkcewa
180,be
181,beda
182,bedan
183,begtu
184,bekas
185,bela
186,belah
187,belanja
188,beli
189,belik
190,belnja
191,beludru
192,benang
193,benarbenar
194,bener
195,beneran
196,benerin
197,bentuk
198,ber
199,berang
200,beranta
201,berapa
202,berat
203,bercak
204,berdiricuman
205,berekpetasi
206,berekspektasi
207,berkah
208,berkat
209,bersih
210,bertangung
211,besar
212,besok
213,best
214,besti
215,bestlh
216,betd
217,bete
218,bets
219,beudm
220,bgaus
221,bget
222,bgian
223,bgini
224,bgs
225,bgtangkai
226,bgtbahan
227,bgtcocok
228,bgtnyeselbelinyabahanya
229,bgtpdhl
230,bgtrekomen
231,bgtsih
232,bgus
233,bh
234,bhanya
235,bhnya
236,biar
237,biarpun
238,bicara
239,bikin
240,bilang
241,bin
242,bingit
243,bingkai
244,bingung
245,bintang
246,biru
247,bisapilih
248,bju
249,bkin
250,bkl
251,bkn
252,bla
253,black
254,blakang
255,blanja
256,blg
257,bli
258,blm
259,blnja
260,blsdan
